complaint_text,category,urgency,duration,affected_count,source,cluster_id,cluster_count,issue_id
water cooler kaam nahi kar raha,Infrastructure,High,More than a month,5 to 20,synthetic,,,
Used tissue and garbage often found near the water cooler area. Students and cleaning staff both need to take responsibility.,Cleanliness,High,More than a month,5 to 20,synthetic,,,
seniors abusive language use kar rahe hai,Ragging,Low,More than a month,5 to 20,synthetic,,,
A group of seniors block certain spots in the canteen and juniors are afraid to sit there. This kind of territorial behavior is a form of ragging.,Ragging,High,More than a month,2 to 5,synthetic,,,
College mein koi proper grievance mechanism nahi hai. Hum complaint karte hai - verbally to HOD or in register - and we never hear back. Was it received? Being looked into? Resolved? Zero feedback. It feels like complaints go into a black hole. An online complaint tracking system should be set up where students can see the status of their complaint. Transparency builds trust. Right now there is none. Students give up after first complaint because they know nothing will happen.,Other,High,From last week,Only me,synthetic,,,
Student ID cards take 2+ months to be issued to new students. Many facilities require ID proof  students are stuck without it.,Other,High,From last week,20+,synthetic,,,
paneer watery hai roz,Mess/Food,Medium,More than a month,20+,synthetic,,,
iMac lab mein students ko access nahi diya jaata. Itna expensive hardware has dust on it. What's the point of buying it if students can't use it?,Technical Issues,Low,More than a month,2 to 5,synthetic,,,
"The WiFi situation in this college is honestly embarrassing. It barely works inside the building, and when it does, the speed is so slow that a simple Google search takes forever. The login system is a nightmare  half the time the login page doesn't even load, and when it does, you get disconnected every few minutes. How are students supposed to do research, complete online assignments, or access learning resources? In 2026, a college that can't provide decent internet is a serious problem. Please invest in proper networking infrastructure.",Technical Issues,High,Today,20+,synthetic,,,
"There is absolutely no mental health support infrastructure in this college. Engineering students face immense pressure - academic, placement-related, personal. Many of my friends are struggling with anxiety and burnout. There is no counselor, no support group, no accessible helpline. Some western colleges treat this as priority. Please hire at least one full-time counselor and set up a confidential support service. Students really need this. Several people I know are genuinely struggling and have nowhere to turn.",Other,High,From last week,Only me,synthetic,,,
Staircase railing in B block is loose. It wobbles when you hold it. Safety hazard - koi gir sakta hai anytime.,Infrastructure,Medium,More than a month,20+,synthetic,,,
OHU students ke liye food affordable nahi,Mess/Food,High,More than a month,Only me,synthetic,,,
"Parking area is completely unorganized. No designated spots, vehicles parked randomly, creates traffic jams every morning.",Infrastructure,Low,From Last Month,20+,synthetic,,,
"I am writing on behalf of many students concerned about washroom hygiene in blocks C and D. Washrooms are cleaned only once in the morning. By 11am they are in deplorable condition - floors wet, flush not working, no soap, bad odor spreading to corridors. Students are forced to use unhygienic facilities multiple times a day. This increases risk of infections and skin diseases. Administration must hire adequate cleaning staff and ensure washrooms are cleaned at least 3 times daily. This is not a luxury request - it is basic sanitation.",Cleanliness,Medium,Today,20+,synthetic,,,
"Multiple systems in lab M411 and M312 are non-functional. Some don't boot, some freeze during work, and some have login issues where it doesn't recognize student IDs. We have practicals to complete with deadlines and we can't work because the computers are broken. This has been reported multiple times but nothing has been fixed. How are we expected to learn if the tools aren't working? The labs need urgent maintenance.",Technical Issues,High,More than a month,Only me,synthetic,,,
"Yaar campus ki cleanliness ki situation kya bata bhai. Canteen ke bahar ka area garbage dump ban gaya hai. Stairs ke corners pe kachra, dustbins overflow ho rahe hai, aur bahar ka road bhi littered hai. Students bhi zimmedaar hai for sure  but cleaning staff bhi visible nahi hai campus pe during the day. Koi ek person responsible hona chahiye jo ensure kare ki campus clean hai throughout the day. Ek Sunday campus cleanliness drive organize karo  involve students bhi. Something needs to be done.",Cleanliness,High,More than a month,20+,synthetic,,,
Student ID cards take 2+ months for new students. Many facilities require ID - students stuck without it.,Other,Low,More than a month,20+,synthetic,,,
spam messages in college groups,Other,Medium,Today,Only me,synthetic,,,
The smell from washroom near stationery is coming into corridor. Very unpleasant. Deep cleaning is needed urgently.,Cleanliness,High,More than a month,5 to 20,synthetic,,,
"The college expects innovation in projects but doesn't give us time, tools, or mentorship to actually innovate. Contradiction at its finest.",Academics,High,More than a month,20+,synthetic,,,
College WiFi ka login system is very buggy. Aadhe time login page hi nahi aata. Aur agar aa gaya toh disconnect ho jata hai 5 minutes mein.,Technical Issues,High,More than a month,2 to 5,synthetic,,,
Biometric attendance machine D block pe weeks se broken hai. Manual attendance leads to disputes.,Technical Issues,High,From Last Month,5 to 20,synthetic,,,
Biometric attendance machine D block pe weeks se broken hai. Manual attendance leads to disputes.,Technical Issues,Low,More than a month,2 to 5,synthetic,,,
"Canteen ke bahar ka area garbage dump ban gaya hai. Stairs corners pe kachra, overflow dustbins.",Cleanliness,High,More than a month,20+,synthetic,,,
window broken hai class ki,Infrastructure,High,From last week,5 to 20,synthetic,,,
ragging ho rahi hostel mein,Ragging,High,From Last Month,2 to 5,synthetic,,,
food mein kuch mila hua tha,Mess/Food,High,More than a month,20+,synthetic,,,
"Professor padhate nahi, just ek book open karke padhte hai. Hum bhi ghar pe yeh kar sakte the.",Academics,High,From last week,20+,synthetic,,,
The college notice boards are broken and papers fall off constantly. Small thing but makes the whole environment look neglected.,Infrastructure,High,More than a month,20+,synthetic,,,
Sir ne ek student ka assignment baar baar reject kiya bina proper reason ke aur publicly embarrass kiya. This appears to be targeted harassment. The student is one of the quiet ones who doesn't fight back. This professor seems to pick on certain students while favoring others. Multiple students have noticed this pattern. This is not fair evaluation - this is bullying by a person in authority. The student is now too scared to even submit assignments. Please address this immediately.,Ragging,High,More than a month,20+,synthetic,,,
There is a pattern of behavior from one particular professor that I want to report formally. He regularly singles out students who don't have 100% attendance and threatens them in front of the class. Uses sarcastic and demeaning language. Girls especially have complained of feeling uncomfortable. On multiple occasions he has made inappropriate and humiliating comments. This is not discipline - this is harassment. Several students have stopped attending his classes out of fear. Please investigate and act before more students are affected.,Ragging,High,From Last Month,5 to 20,synthetic,,,
The ISA marks are directly affecting our SGPA. Ek test mein kuch galat hua toh poora semester kharab. This system needs to change.,Academics,High,More than a month,20+,synthetic,,,
lab systems too old to run modern software,Technical Issues,High,From last week,20+,synthetic,,,
net bahut slow hai,Technical Issues,Medium,More than a month,5 to 20,synthetic,,,
"The workload distribution in this college is absolutely terrible. In a single week we can have: monday test, ISA exam, 3 assignment submissions, 2 practical records to submit, a mini project review, and regular lectures. All of this happening simultaneously with zero coordination between departments. Teachers don't check with each other before setting deadlines. Students are running from one submission to another, stress levels are through the roof. No time to actually understand anything. This is not education - this is a factory process.",Academics,Medium,More than a month,20+,synthetic,,,
